yearID,teamID,W,L,G,actual_payroll,actual_roster_WAR,roster_size,cf_roster_WAR,cf_spend,cf_n_players,actual_expected_wins,cf_expected_wins,moneyball_gain_wins,payroll_millions
2003,SEA,93,69,162,86959167,31.23689446036387,35,37.23173574060132,86916167.0,24,79.23689446036387,85.23173574060132,5.994841280237452,86.959167
2003,SFN,100,61,161,82852167,32.89718134268961,43,23.547268880253704,82636096.0,33,80.8971813426896,71.54726888025371,-9.349912462435896,82.852167
2003,SLN,85,77,162,83786666,35.237932042519176,39,31.83581238928889,83745000.0,24,83.23793204251918,79.83581238928889,-3.4021196532302866,83.786666
2003,TBA,63,99,162,19630000,10.957175254799454,48,22.79393010864328,19565600.0,18,58.95717525479945,70.79393010864328,11.836754853843829,19.63
2003,TEX,71,91,162,103491667,27.60716296338113,45,40.397614984706024,103414500.0,25,75.60716296338113,88.39761498470602,12.790452021324896,103.491667
2003,TOR,86,76,162,51269000,39.15176505494042,37,28.522365350594388,51042926.0,18,87.15176505494043,76.52236535059438,-10.629399704346042,51.269
2004,ANA,92,70,162,100534667,36.67515306208274,37,41.87296732914419,100511668.0,21,84.67515306208274,89.87296732914419,5.197814267061446,100.534667
2004,ARI,51,111,162,69780750,10.920517071950592,48,41.82189057326448,69747500.0,19,58.92051707195059,89.82189057326448,30.90137350131389,69.78075
2004,ATL,96,66,162,90182500,37.507450764371136,38,22.973888575243283,89971534.0,35,85.50745076437113,70.97388857524328,-14.53356218912785,90.1825
2004,BAL,78,84,162,51623333,33.45082484914463,43,29.189851361025383,51379867.0,19,81.45082484914462,77.18985136102538,-4.260973488119248,51.623333
2004,BOS,98,64,162,127298500,49.13097921329228,42,20.152307374233622,90140567.0,42,97.13097921329228,68.15230737423363,-28.97867183905865,127.2985
2004,CHA,83,79,162,65212500,23.661008250321533,35,28.962666568541497,65188567.0,22,71.66100825032153,76.9626665685415,5.301658318219964,65.2125
2004,CHN,89,73,162,90560000,40.79887450194,38,15.955517065901379,83941833.0,38,88.79887450193999,63.955517065901375,-24.843357436038616,90.56
